zip_code	count
98125	5
60610	5
24501	5
23109	5
60409	5
22214	5
76133	5
91364	4
22034	4
22520	4
20896	4
15229	4
30329	4
21093	4
37922	4
31525	4
48103	4
21811	4
22642	4
80303	4
21788	4
33432	4
30269	4
92801	4
17254	4
13224	4
32967	4
27405	4
20765	4
20685	4
26348	4
28405	4
22120	4
94301	4
12203	4
10583	4
76710	4
94549	4
24521	4
77080	4
21001	4
60192	4
80218	4
28303	4
27874	4
94965	4
22508	4
34203	4
32082	4
94610	4
22219	4
20750	4
10014	4
20181	4
21776	4
22742	4
20153	4
20065	4
25413	4
33433	4
89436	4
33618	4
22911	3
21220	3
33312	3
32958	3
27262	3
22234	3
24901	3
55115	3
22040	3
43228	3
84060	3
60527	3
19707	3
32832	3
21759	3
87544	3
11754	3
20709	3
30022	3
78665	3
20135	3
37312	3
22851	3
75219	3
28204	3
94304	3
22824	3
20619	3
20624	3
18411	3
22737	3
98133	3
95476	3
21090	3
31220	3
20689	3
11590	3
21769	3
15044	3
22922	3
17268	3
80123	3
40245	3
66044	3
21078	3
32401	3
19720	3
21204	3
21012	3
21239	3
21620	3
43215	3
20137	3
21217	3
19103	3
21224	3
73013	3
23116	3
65203	3
76036	3
32601	3
99801	3
97208	3
32503	3
27878	3
20680	3
11771	3
22625	3
77024	3
86001	3
30062	3
33573	2
85032	2
93401	2
93010	2
23221	2
15942	2
20860	2
17015	2
19083	2
23434	2
28301	2
33169	2
21502	2
35216	2
21639	2
60451	2
20041	2
80210	2
10308	2
34711	2
19403	2
23117	2
87120	2
27703	2
90601	2
39574	2
20144	2
21875	2
90210	2
75119	2
27893	2
22835	2
95014	2
21133	2
10701	2
90012	2
48301	2
22542	2
30068	2
41071	2
60074	2
33063	2
20733	2
26810	2
98136	2
21750	2
22216	2
33133	2
17603	2
27312	2
30220	2
26062	2
27910	2
10034	2
32159	2
19806	2
23831	2
48322	2
53711	2
33157	2
20645	2
33412	2
92610	2
21654	2
36109	2
98109	2
31906	2
10520	2
37821	2
21911	2
12771	2
85307	2
94588	2
20824	2
20632	2
77054	2
45056	2
20198	2
24401	2
20688	2
33401	2
21795	2
19808	2
20755	2
20433	2
22125	2
20067	2
20577	2
96707	2
21229	2
80204	2
19130	2
33143	2
21213	2
31320	2
33031	2
10530	2
24538	2
33334	2
32174	2
65809	2
21658	2
31903	2
92130	2
20167	2
32257	2
10038	2
21226	2
37212	2
21610	2
13078	2
20119	2
20794	2
22810	2
43402	2
64111	2
21653	2
78727	2
27932	2
29456	2
22740	2
75231	1
20118	1
10470	1
30350	1
20842	1
32951	1
60614	1
94539	1
22473	1
60026	1
27406	1
20075	1
33328	1
87048	1
53726	1
11373	1
19145	1
20779	1
19085	1
33876	1
61820	1
21713	1
76006	1
60546	1
21225	1
33102	1
21716	1
30096	1
10009	1
22645	1
11768	1
15458	1
94121	1
31401	1
17109	1
27344	1
10010	1
19119	1
14170	1
23661	1
17033	1
21740	1
70115	1
21206	1
53211	1
43209	1
11233	1
48104	1
23223	1
92625	1
30312	1
10970	1
98155	1
55445	1
24530	1
27612	1
27713	1
70126	1
59601	1
94306	1
22106	1
15601	1
60044	1
35226	1
10304	1
22656	1
20035	1
19139	1
34242	1
22403	1
53072	1
20224	1
19525	1
85016	1
27896	1
45220	1
54313	1
20228	1
22215	1
21625	1
21817	1
30339	1
93536	1
18938	1
12533	1
79912	1
20091	1
63338	1
44122	1
20664	1
33445	1
98022	1
77356	1
19904	1
80138	1
27803	1
38340	1
98052	1
19422	1
30152	1
10461	1
60187	1
32955	1
15071	1
29604	1
70119	1
54531	1
19104	1
38120	1
30004	1
33431	1
10025	1
99577	1
55413	1
15208	1
78575	1
10006	1
19072	1
22936	1
53705	1
62221	1
11030	1
22402	1
20773	1
21826	1
21762	1
99301	1
20158	1
33304	1
85718	1
